"","id","class","new_classes","representative","Number_of_CDS","Number_of_exons","intron_in_UTR","overlaps"
"4543","maker_00176433_RA",6,"6","YES",1,1,"no","yes"
"6993","maker_00171616_RA",6,"6","YES",1,1,"no","no"
"9711","maker_00176627_RF",5,"5C","NO",4,4,"no","no"
"3964","maker_00175097_RA",4,"4","YES",3,3,"no","no"
"872","maker_00168179_RA",6,"6","YES",5,5,"no","no"
"8253","maker_00174054_RC",4,"4","NO",1,3,"yes","no"
"6189","mikado.Super_Scaffold_1000004G1271.1",5,"5F","YES",1,1,"no","no"
"5327","mikado.Super_Scaffold_1000004G747.1",5,"5F","YES",1,1,"no","no"
"8629","maker_00174699_RB",3,"3","NO",3,6,"yes","yes"
"8571","maker_00174603_RA",6,"6","YES",1,1,"no","no"
"7061","maker_00171768_RA",6,"6","YES",3,3,"no","no"
"4442","maker_00176204_RA",6,"6","YES",2,2,"no","no"
"2708","maker_00172880_RA",6,"6","YES",4,4,"no","no"
"7318","maker_00172281_RA",6,"6","YES",2,2,"no","no"
"4952","mikado.Super_Scaffold_1000004G273.1",6,"6","YES",1,1,"no","no"
"6208","maker_00169817_RA",4,"4","YES",1,1,"no","no"
"707","maker_00167794_RA",6,"6","YES",6,6,"no","no"
"964","maker_00168457_RA",6,"6","YES",4,4,"no","no"
"2894","maker_00173262_RH",1,"1","NO",13,14,"yes","no"
"8392","maker_00174358_RD",3,"3","YES",12,13,"yes","no"
"4538","maker_00176412_RA",3,"3","NO",5,5,"no","no"
"7294","mikado.Super_Scaffold_1000004G2914.1",6,"6","YES",1,1,"no","no"
"2438","maker_00172205_RA",6,"6","YES",3,3,"no","no"
"5301","maker_00167430_RA",6,"6","YES",3,3,"no","no"
"5469","mikado.Super_Scaffold_1000004G847.1",6,"6","YES",1,1,"no","no"
"879","maker_00168193_RA",4,"4","YES",3,3,"no","no"
"4821","maker_00166042_RA",6,"6","YES",1,1,"no","no"
"7675","maker_00172921_RA",1,"1","NO",2,2,"no","no"
"1191","maker_00169077_RA",3,"3","YES",4,5,"yes","no"
"6734","maker_00171002_RA",3,"3","YES",12,13,"yes","no"
"6468","maker_00170418_RA",6,"6","YES",1,1,"no","no"
"5324","maker_00167490_RA",6,"6","YES",3,3,"no","no"
"2371","maker_00172026_RA",5,"5A","YES",3,3,"no","yes"
"9149","maker_00175647_RB",3,"3","YES",13,13,"no","no"
"7533","maker_00172626_RG",5,"5C","NO",4,6,"yes","no"
"4643","maker_00176592_RA",6,"6","YES",2,2,"no","no"
"5733","maker_00168596_RA",6,"6","YES",2,2,"no","no"
"8568","mikado.Super_Scaffold_1000004G5038.2",5,"5C","NO",3,4,"yes","no"
"5725","maker_00168583_RA",6,"6","YES",2,2,"no","no"
"9268","maker_00175851_RA",3,"3","YES",8,8,"no","no"
"5509","maker_00168062_RA",6,"6","YES",1,1,"no","no"
"2825","maker_00173114_RA",3,"3","YES",3,5,"yes","no"
"8243","maker_00174047_RD",1,"1","NO",10,10,"no","no"
"9832","mikado.Super_Scaffold_1000004G7093.1",6,"6","YES",1,1,"no","no"
"9032","mikado.Super_Scaffold_1000004G5752.1",5,"5F","YES",1,1,"no","no"
"5453","maker_00167906_RA",4,"4","YES",3,3,"no","no"
"4249","maker_00175783_RA",6,"6","YES",4,4,"no","no"
"286","maker_00166707_RA",6,"6","YES",2,2,"no","no"
"4246","maker_00175770_RA",4,"4","YES",2,2,"no","no"
"332","maker_00166825_RA",6,"6","YES",5,5,"no","no"
"6287","maker_00170005_RA",6,"6","YES",3,3,"no","no"
"9034","maker_00175465_RA",1,"1","NO",14,17,"yes","no"
"8663","mikado.Super_Scaffold_1000004G5235.1",6,"6","YES",1,1,"no","no"
"9239","maker_00175816_RD",1,"1","NO",5,5,"no","no"
"2764","maker_00172995_RA",6,"6","YES",1,1,"no","no"
"2587","maker_00172598_RA",3,"3","YES",2,3,"yes","no"
"7300","maker_00172248_RE",1,"1","NO",16,19,"yes","no"
"6084","maker_00169429_RA",4,"4","YES",2,2,"no","no"
"4386","maker_00176094_RD",1,"1","NO",31,36,"yes","no"
"3881","maker_00175020_RD",1,"1","NO",10,11,"yes","no"
"3488","maker_00174347_RA",4,"4","YES",6,6,"no","no"
"1401","maker_00169600_RA",6,"6","YES",1,1,"no","no"
"3189","maker_00173732_RD",3,"3","NO",14,18,"yes","no"
"4144","maker_00175562_RB",3,"3","NO",4,4,"no","yes"
"2890","maker_00173262_RC",1,"1","NO",14,16,"yes","no"
"6211","maker_00169821_RA",4,"4","YES",1,1,"no","no"
"1771","maker_00170499_RA",6,"6","YES",4,4,"no","no"
"9952","maker_00235122_RA",5,"5C","YES",2,2,"no","no"
"3858","maker_00174949_RA",6,"6","YES",3,3,"no","no"
"3988","maker_00175158_RE",3,"3","NO",2,3,"yes","no"
"7494","maker_00172547_RA",1,"1","YES",11,11,"no","no"
"9983","maker_00235193_RG",3,"3","NO",7,8,"yes","no"
"3643","maker_00174623_RA",6,"6","YES",4,4,"no","no"
"4866","maker_00166157_RA",6,"6","YES",1,1,"no","no"
"3888","maker_00175026_RA",1,"1","YES",8,8,"no","no"
"5890","maker_00169006_RA",6,"6","YES",5,5,"no","no"
"4930","mikado.Super_Scaffold_1000004G181.1",6,"6","YES",1,1,"no","no"
"1008","maker_00168600_RA",6,"6","YES",2,2,"no","no"
"7376","maker_00172397_RA",6,"6","YES",1,1,"no","no"
"3464","maker_00174304_RA",6,"6","YES",3,3,"no","no"
"3973","maker_00175133_RA",1,"1","YES",5,6,"yes","no"
"2324","maker_00171908_RA",5,"5A","YES",3,3,"no","yes"
"226","maker_00166575_RA",6,"6","YES",2,2,"no","no"
"3348","maker_00174038_RB",1,"1","NO",4,6,"yes","no"
"6933","maker_00171479_RD",1,"1","NO",2,2,"no","no"
"8563","maker_00174594_RA",3,"3","YES",1,1,"no","no"
"5827","maker_00168835_RA",6,"6","YES",2,2,"no","no"
"7219","maker_00172099_RA",6,"6","YES",2,2,"no","no"
"5232","maker_00167236_RA",6,"6","YES",2,2,"no","no"
"6122","maker_00169534_RA",6,"6","YES",7,7,"no","no"
"8557","maker_00174589_RE",5,"5C","NO",2,2,"no","no"
"4747","mikado.Super_Scaffold_1000004G7015.1",6,"6","YES",1,2,"yes","no"
"640","maker_00167638_RA",6,"6","YES",9,9,"no","no"
"301","maker_00166751_RA",6,"6","YES",2,2,"no","no"
"4063","maker_00175397_RC",5,"5C","NO",2,3,"yes","no"
"8049","maker_00173703_RA",1,"1","YES",4,5,"yes","no"
"1764","maker_00170489_RC",1,"1","NO",2,3,"yes","no"
"6343","maker_00170135_RA",4,"4","YES",2,2,"no","no"
"978","maker_00168493_RA",6,"6","YES",5,5,"no","no"
"4186","maker_00175666_RF",3,"3","NO",8,8,"no","yes"
"138","maker_00166322_RA",6,"6","YES",2,2,"no","no"
"4842","maker_00166110_RA",6,"6","YES",1,1,"no","no"
"6237","maker_00169888_RA",5,"5C","YES",5,5,"no","no"
"3991","maker_00175166_RC",3,"3","NO",30,30,"no","no"
"7853","maker_00173338_RF",1,"1","NO",7,7,"no","no"
"6595","mikado.Super_Scaffold_1000004G1923.1",5,"5F","YES",1,1,"no","no"
"9505","maker_00176266_RB",1,"1","YES",59,59,"no","no"
"9342","maker_00175972_RA",6,"6","YES",2,2,"no","no"
"4423","maker_00176179_RA",1,"1","YES",15,19,"yes","no"
"7598","maker_00172771_RB",3,"3","NO",6,7,"yes","no"
"1430","maker_00169654_RA",4,"4","YES",2,2,"no","no"
"2308","maker_00171869_RE",3,"3","NO",3,4,"yes","no"
"825","maker_00168084_RA",6,"6","YES",2,2,"no","no"
"744","maker_00167866_RA",6,"6","YES",4,4,"no","no"
"6487","maker_00170479_RA",5,"5F","YES",1,1,"no","no"
"6481","maker_00170455_RA",6,"6","YES",2,2,"no","no"
"3474","maker_00174333_RA",1,"1","YES",8,10,"yes","yes"
"7556","maker_00172655_RA",4,"4","YES",10,10,"no","no"
"574","mikado.Super_Scaffold_1000004G684.1",6,"6","YES",1,2,"yes","no"
"6361","mikado.Super_Scaffold_1000004G1498.1",6,"6","YES",1,1,"no","no"
"8622","maker_00174688_RA",6,"6","YES",4,4,"no","no"
"38","maker_00166065_RA",6,"6","YES",4,4,"no","no"
"3595","maker_00174525_RE",2,"2C","YES",6,7,"yes","no"
"2097","maker_00171290_RA",6,"6","YES",3,3,"no","no"
"9072","maker_00175505_RD",1,"1","NO",8,11,"yes","no"
"7694","maker_00172958_RF",3,"3","YES",5,5,"no","no"
"343","maker_00166846_RA",6,"6","YES",4,4,"no","no"
"6490","mikado.Super_Scaffold_1000004G1728.1",6,"6","YES",2,2,"no","no"
"1326","maker_00169438_RA",6,"6","YES",1,1,"no","no"
"2673","maker_00172804_RB",1,"1","NO",3,3,"no","no"
"5501","maker_00168046_RA",6,"6","YES",3,3,"no","no"
"2663","maker_00172780_RF",3,"3","NO",2,4,"yes","no"
"117","maker_00166257_RA",6,"6","YES",2,2,"no","no"
"3423","maker_00174269_RA",1,"1","YES",14,16,"yes","no"
"8542","maker_00174571_RC",3,"3","NO",1,2,"yes","yes"
"3580","maker_00174496_RG",3,"3","NO",4,7,"yes","no"
"9699","maker_00176624_RE",3,"3","NO",7,7,"no","no"
"2910","maker_00173297_RB",3,"3","YES",7,8,"yes","no"
"8798","mikado.Super_Scaffold_1000004G5481.1",6,"6","YES",1,1,"no","no"
"937","maker_00168326_RA",6,"6","YES",1,1,"no","no"
"2605","maker_00172634_RF",1,"1","NO",7,7,"no","no"
"4243","maker_00175756_RA",6,"6","YES",5,5,"no","no"
"5062","maker_00166725_RA",6,"6","YES",3,3,"no","no"
"8102","maker_00173811_RB",1,"1","NO",14,14,"no","no"
"9213","mikado.Super_Scaffold_1000004G6014.2",5,"5C","YES",1,2,"yes","no"
"6812","maker_00171154_RA",6,"6","YES",3,3,"no","no"
"894","maker_00168228_RA",6,"6","YES",3,3,"no","no"
"4944","mikado.Super_Scaffold_1000004G229.1",6,"6","YES",1,1,"no","no"
"4929","maker_00166352_RA",6,"6","YES",2,2,"no","no"
"7698","maker_00172960_RB",1,"1","NO",10,11,"yes","no"
"1046","maker_00168719_RA",6,"6","YES",2,2,"no","no"
"9540","maker_00176332_RA",3,"3","NO",8,10,"yes","no"
"630","maker_00167615_RA",6,"6","YES",3,3,"no","no"
"1039","maker_00168703_RA",6,"6","YES",4,4,"no","no"
"741","maker_00167860_RA",4,"4","YES",1,1,"no","no"
"2406","maker_00172103_RD",3,"3","NO",4,5,"yes","no"
"5353","maker_00167596_RA",6,"6","YES",2,2,"no","no"
"2770","maker_00173011_RA",4,"4","YES",2,2,"no","no"
"1349","maker_00169503_RA",6,"6","YES",2,2,"no","no"
"5429","maker_00167837_RA",6,"6","YES",6,6,"no","no"
"7079","mikado.Super_Scaffold_1000004G2610.1",6,"6","YES",1,1,"no","no"
"2413","maker_00172114_RB",5,"5A","NO",2,2,"no","yes"
"9205","maker_00175738_RA",1,"1","YES",3,4,"yes","no"
"8024","maker_00173664_RB",3,"3","YES",16,17,"yes","no"
"8208","maker_00173994_RB",3,"3","NO",1,2,"yes","no"
"1017","maker_00168633_RA",6,"6","YES",2,2,"no","no"
"5254","maker_00167293_RA",6,"6","YES",3,3,"no","no"
"3551","maker_00174420_RA",6,"6","YES",2,2,"no","no"
"262","maker_00166660_RA",6,"6","YES",1,1,"no","no"
"7870","maker_00173371_RC",1,"1","NO",6,8,"yes","no"
"6895","mikado.Super_Scaffold_1000004G2305.1",5,"5C","YES",2,3,"yes","no"
"8770","maker_00175000_RA",6,"6","YES",3,3,"no","no"
"3630","maker_00174602_RF",1,"1","NO",2,4,"yes","no"
"3492","maker_00174354_RC",3,"3","NO",1,2,"yes","no"
"5075","maker_00166807_RA",4,"4","YES",2,2,"no","no"
"7719","mikado.Super_Scaffold_1000004G3366.1",6,"6","YES",1,1,"no","no"
"7721","mikado.Super_Scaffold_1000004G3377.1",5,"5F","YES",1,1,"no","no"
"2942","maker_00173362_RA",4,"4","YES",3,3,"no","no"
"5402","maker_00167735_RA",6,"6","YES",9,9,"no","no"
"3801","maker_00174864_RG",3,"3","NO",7,7,"no","no"
"7857","mikado.Super_Scaffold_1000004G3657.2",5,"5C","NO",5,6,"yes","no"
"453","maker_00167114_RA",6,"6","YES",1,1,"no","no"
"5220","maker_00167213_RA",6,"6","YES",2,2,"no","no"
"8916","maker_00175264_RA",6,"6","YES",2,2,"no","no"
"1458","maker_00169706_RA",6,"6","YES",3,3,"no","no"
"1147","maker_00168968_RA",6,"6","YES",2,2,"no","no"
"670","maker_00167718_RA",6,"6","YES",5,5,"no","no"
"3841","maker_00174924_RA",3,"3","YES",3,3,"no","no"
"6260","maker_00169959_RA",6,"6","YES",2,2,"no","no"
"5234","mikado.Super_Scaffold_1000004G625.1",5,"5F","YES",1,1,"no","no"
"3284","maker_00173908_RA",6,"6","YES",2,2,"no","no"
"1475","maker_00169744_RA",6,"6","YES",1,1,"no","no"
"8552","mikado.Super_Scaffold_1000004G5027.1",5,"5F","YES",1,1,"no","no"
"1235","maker_00169191_RA",4,"4","YES",2,2,"no","no"
"467","maker_00167160_RA",6,"6","YES",2,2,"no","no"
"8560","maker_00174591_RD",5,"5C","NO",3,4,"yes","no"
"2610","maker_00172643_RA",6,"6","YES",5,5,"no","no"
"646","maker_00167654_RA",6,"6","YES",6,6,"no","no"
"9003","maker_00175434_RA",6,"6","YES",4,4,"no","no"
"4612","maker_00176537_RA",5,"5F","YES",1,1,"no","no"
"4295","maker_00175897_RC",3,"3","NO",2,2,"no","no"
"2781","maker_00173032_RC",1,"1","NO",9,9,"no","no"
"8534","mikado.Super_Scaffold_1000004G4979.1",6,"6","YES",1,1,"no","no"
"8083","maker_00173767_RB",4,"4","NO",1,2,"yes","no"
"6676","maker_00170857_RA",6,"6","YES",2,2,"no","no"
"8203","maker_00173988_RA",6,"6","YES",2,2,"no","no"
"4727","maker_00176760_RA",6,"6","YES",1,1,"no","no"
"2668","maker_00172788_RA",1,"1","YES",9,10,"yes","no"
"8410","maker_00174364_RF",1,"1","NO",11,11,"no","no"
"1054","maker_00168737_RA",3,"3","YES",2,4,"yes","no"
"309","maker_00166769_RA",6,"6","YES",10,10,"no","no"
